product-name,product-type,price,ref,marca,val-points,val-quantity,stock,product-sending-value,date,NoFrost,SistemaAntibacterias,Refrigeración,Enfriamientorápido,Númerodepuertas,TemperaturaAmbienteMínima,TemperaturaAmbienteMáxima,Capacidaddecongelación,Tipodeinstalación,CapacidadTotalNeta,CapacidadTotalBruta,BandejasenCongelador,Cajones/Cestas,CapacidadCongelador,PotenciadeDescongelación,Hieleras/Cubiteras,Iluminación,Apertura,Color/material,Tirador,RuedasTraseras,PuertaReversible,PatasRegulables,Alimentación,EficienciaNueva,Potencia,ConsumoAnualdeEnergía,Autonomíaencasodecorteeléctrico(Horas),ClaseClimática,Ruido,EficienciaSonora,ClasificaciónporEstrellas,Alturaexacta,Anchuraexacta,Peso,Profundidad,LongituddelCable,Altura,Anchura,ControlDigitalExterno,DisplayDigital,PosicióndelosControles,ReguladordeTemperatura,Pantalla,Garantía,Hercios,BaldasenRefrigerador,Botellero,Capacidadfrigorífico,BandejasAjustablesenFrigorífico,FreshBox,SuperFrost,ZeroBox,Multizone,Panelable,BalconesenlaPuerta,AlarmaVisual,Intensidad,Alarma,Otrainformación,Conectividad,CompartimentoCubiertoparaLácteos,DispensadorAgua,DispensadorHielo,VitaCareBox,FuzzyLogic,IonClean,BloqueoparaNiños,AdmisióndeAgua,Cámara,ModoVacaciones,Motores,MotorExtrasilencioso,ModoECO,TipodeBotellero,BandejasextraíblesEasyAccess,Posición,BigBoxCongelador,Indicadordepuertacongeladorabierta,ControlExterno,Huevera,Ventanaconvisibilidadinterior,BigBox,VarioZone,VitaFresh,VarioShelf,ExtraCold,FullSkinCondenser,EficienciaAntigua,InformaciónAdicional,AlturaMáximadeEncastre,ExtraFresh,ExtraFreshComfort,---,JuntasAntibacterias,DiseñodelaSerie,TrituradordeHielo,DoorCooling,WineStorage,Potenciadeaudio,Supercongelación,Cajones,Ruido(Decibelios),VitControl,NeoFrostDualCooling,PosicióndelasPuertas,NºBotelleros,FreshFood,IluminaciónInterior,LinearCooling,Controles,MotorInverter/Blindado,Frecuencia,Serie,IluminaciónLED,DiseñodelTirador,Voltaje(V),SistemadepurificacióndeairePureNFresh,UltraFreshCrisper,HyperFreeze,FoodCareZone,LongituddelManguitodeentrada,SmartDiagnosis,TecnologíaInverter,Certificacionesdehomologación,LongituddelManguitodeSalida
TEKA NFL 320 C INOX - Frigorífico Combi No Frost,frigorificos," 418,49 €",115216026,TEKA," 4,70",(20),No Disponible,"37,00 €",2023-04-24,Total,Sí,No Frost,Sí,2 Puertas,15 ºC,38 ºC,4 Kg/24H,Libre,296 Litros,,3 Bandejas,2 Cajoneras,78 Litros,170 Vatios,1 Hieleras,LED,A Derechas,Inox,Integrado,Sí,Sí,Todas,230V,F,100 W,293 Kwh/Año,15 Autonomía,N/ST/T,41 Decibelios,D,4 Estrellas,188 Centímetros,60 Centímetros,62 Kilogramos,64 Centímetros,2 Metros,181 a 190,55 a 60 cm,No,No,Internos,Digital,No,3 Años,50 Hz,4 Baldas,No,224 Litros,2 bandejas,Sí,Sí,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
INDESIT TAA 5 1 BLANCO - Frigorífico Dos Puertas Cíclico,frigorificos," 393,49 €",014760137,INDESIT," 4,83",(6),Disponible,"37,00 €",2023-04-24,NULL,NULL,Cíclico,NULL,2 Puertas,NULL,NULL,4 Kg/24H,Libre,416 Litros,NULL,1 Bandejas,2 Cajoneras,83 Litros,NULL,NULL,LED,A Derechas,Blanco,Integrado,NULL,Sí,NULL,230V,F,NULL,282 Kwh/Año,0 Autonomía,templada/subtropical,44 Decibelios,D,4 Estrellas,180 Centímetros,70 Centímetros,NULL,69 Centímetros,NULL,176 a 180 cm,66 a 70 cm,No,No,Internos,Mecánico,No,3 Años,NULL,5 Baldas,No,333 Litros,NULL,NULL,NULL,NULL,NULL,No,3 Balcones,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
INDESIT LI8 SN2E X Inox - Frigorífico Combi No Frost parcial ,frigorificos," 437,49 €",014762233,INDESIT," 5,00",(2),Disponible,"37,00 €",2023-04-24,Congelador,NULL,Cíclico,No,2 Puertas,NULL,NULL,7 Kg/24H,Libre,328 Litros,NULL,3 Bandejas,1 Cajoneras,98 Litros,NULL,NULL,LED,A Derechas,Inox,Integrado,NULL,Sí,NULL,230V,E,150 W,247 Kwh/Año,16 Autonomía,templada extendida/ tropical,40 Decibelios,C,4 Estrellas,189 Centímetros,60 Centímetros,68 Kilogramos,66 Centímetros,2 Metros,181 a 190,55 a 60 cm,No,NULL,Internos,Digital,NULL,3 Años,50 Hz,4 Baldas,No,230 Litros,NULL,NULL,NULL,NULL,NULL,NULL,3 Balcones,Sí,1 Amperios,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TEKA NFL-320 Blanco - Frigorífico Combi No Frost,frigorificos," 406,49 €",115214386,TEKA," 4,73",(12),Disponible,"37,00 €",2023-04-24,Total,Sí,No Frost,Sí,2 Puertas,16 ºC,38 ºC,4 Kg/24H,Libre,310 Litros,,1 Bandejas,1 Cajoneras,78 Litros,170 Vatios,NULL,LED,A Derechas,Blanco,Integrado,Sí,Sí,Todas,230V,F,100 W,293 Kwh/Año,NULL,N/ST/T,41 Decibelios,D,4 Estrellas,188 Centímetros,60 Centímetros,62 Kilogramos,64 Centímetros,2 Metros,181 a 190,55 a 60 cm,No,NULL,NULL,Digital,NULL,3 Años,NULL,NULL,No,224 Litros,NULL,Sí,NULL,No,No,No,NULL,No,NULL,No,,No,No,No,No,Sí,No,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
KROMSLINE KC-185-DW BLANCO - Frigorífico Combi No Frost ,frigorificos," 455,20 €",702139949,KROMSLINE," 0,00",(0),Disponible,"37,00 €",2023-04-24,Total,NULL,No Frost,NULL,2 Puertas,NULL,NULL,6 Kg/24H,Libre,320 Litros,NULL,3 Bandejas,1 Cajoneras,109 Litros,NULL,NULL,LED,A Derechas,Blanco,Integrado,NULL,Sí,NULL,230V,E,NULL,256 Kwh/Año,0 Autonomía,NULL,41 Decibelios,C,NULL,185 Centímetros,60 Centímetros,NULL,66 Centímetros,NULL,181 a 190,55 a 60 cm,Pantalla,Sí,Externos,Digital,Sí,5 Años,NULL,4 Baldas,No,211 Litros,NULL,NULL,NULL,NULL,NULL,NULL,4 Balcones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BOSCH KGN36VIEA INOX - Frigorífico Combi NoFrost ,frigorificos," 741,49 €",200519602,BOSCH," 4,33",(3),Disponible,"37,00 €",2023-04-24,Total,NULL,No Frost,Sí,2 Puertas,NULL,NULL,10 Kg/24H,Libre,NULL,,3 Bandejas,3 Cajoneras,89 Litros,NULL,1 Hieleras,LED,A Derechas,Inox,Integrado,NULL,Sí,NULL,230V,E,100 W,238 Kwh/Año,13 Autonomía,"Subtropical, Templado, Templado ampliado, tropical",39 Decibelios,C,4 Estrellas,186 Centímetros,60 Centímetros,69 Kilogramos,66 Centímetros,2 Metros,181 a 190,55 a 60 cm,No,NULL,Internos,Digital,No,3 Años,50 Hz,4 Baldas,NULL,237 Litros,2 bandejas,NULL,Sí,NULL,NULL,No,3 Balcones,Sí,10 Amperios,Sí,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,No,1 Motores,Sí,Sí,Rejilla auxiliar para 1 botella,Sí,Abajo,No,Sí,Control táctil,Sí,No,No,No,Sí,No,Sí,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
KROMSLINE KF-4P-80-DDIX INOX - Frigorífico Americano No Frost ,frigorificos," 951,20 €",702139962,KROMSLINE," 0,00",(0),Disponible,"78,00 €",2023-04-24,Total,NULL,No Frost,NULL,4 Puertas,NULL,NULL,8 Kg/24H,Libre,379 Litros,NULL,6 Bandejas,2 Cajoneras,120 Litros,NULL,NULL,LED,NULL,Inox,Integrado,NULL,NULL,NULL,230V,F,NULL,331 Kwh/Año,NULL,NULL,42 Decibelios,D,NULL,184 Centímetros,75 Centímetros,NULL,69 Centímetros,NULL,181 a 190,76 a 80 cm,Pantalla,Sí,Externos,Digital,Sí,5 Años,0 Hz,3 Baldas,No,259 Litros,NULL,NULL,NULL,NULL,NULL,No,6 Balcones,NULL,NULL,NULL,NULL,NULL,NULL,Sí,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Control táctil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A++,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BALAY 3KUF233S Integrable - Nevera Una Puerta Cíclico,frigorificos," 571,49 €",200628651,BALAY," 0,00",(0),Disponible,"37,00 €",2023-04-24,NULL,NULL,Cíclico,No,1 Puertas,NULL,NULL,NULL,Integrable,137 Litros,NULL,NULL,1 Cajoneras,NULL,NULL,NULL,NULL,A Derechas,Blanco,NULL,NULL,Sí,NULL,230V,F,NULL,114 Kwh/Año,NULL,"Subtropical, Templado, Templado ampliado",38 Decibelios,C,NULL,82 Centímetros,60 Centímetros,34 Kilogramos,55 Centímetros,2 Metros,50 a 100 cm,55 a 60 cm,NULL,NULL,NULL,NULL,NULL,3 Años,50 Hz,3 Baldas,NULL,137 Litros,3 bandejas,NULL,NULL,NULL,NULL,No,3 Balcones,NULL,10 Amperios,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1 Motores,No,No,NULL,No,NULL,NULL,NULL,NULL,No,NULL,NULL,No,NULL,No,NULL,NULL,NULL,(No incluye la puerta o el panel de integración),82 Cm,No,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SMEG FAB30RBE5 AZUL - Frigorífico Dos Puertas Cíclico,frigorificos," 1.608,61 €",770929774,SMEG," 0,00",(0),Disponible,"37,00 €",2023-04-24,NULL,NULL,Cíclico,NULL,2 Puertas,NULL,NULL,4 Kg/24H,Libre,294 Litros,NULL,0 Bandejas,2 Cajoneras,72 Litros,NULL,NULL,LED,A Derechas,Azul,Externo,NULL,NULL,NULL,230V,D,100 W,168 Kwh/Año,30 Autonomía,"SN, N, ST, T",37 Decibelios,C,4 Estrellas,172 Centímetros,60 Centímetros,79 Kilogramos,77 Centímetros,1 Metros,171 a 175 cm,55 a 60 cm,No,No,Internos,Mecánico,No,3 Años,50 Hz,4 Baldas,No,222 Litros,2 bandejas,NULL,NULL,NULL,NULL,No,3 Balcones,Sí,NULL,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Huevera Accesorios,Sí,Vintage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BOSCH KGN36VIDA INOX - Frigorífico Combi No Frost,frigorificos," 730,99 €",200514040,BOSCH," 5,00",(1),Disponible,"37,00 €",2023-04-24,Total,NULL,No Frost,Sí,2 Puertas,NULL,NULL,10 Kg/24H,Libre,NULL,,3 Bandejas,3 Cajoneras,89 Litros,NULL,1 Hieleras,LED,A Derechas,Inox,Integrado,NULL,Sí,NULL,230V,D,100 W,191 Kwh/Año,13 Autonomía,"Subtropical, Templado, Templado ampliado, tropical",36 Decibelios,C,4 Estrellas,186 Centímetros,60 Centímetros,74 Kilogramos,66 Centímetros,2 Metros,181 a 190,55 a 60 cm,No,No,Internos,Digital,No,3 Años,50 Hz,4 Baldas,NULL,237 Litros,2 bandejas,NULL,Sí,NULL,NULL,No,3 Balcones,Sí,10 Amperios,Sí,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,No,NULL,1 Motores,Sí,Sí,Rejilla auxiliar para 1 botella,Sí,Abajo,No,Sí,NULL,Sí,No,No,No,Sí,Sí,Sí,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
