product-name,price,ref,marca,val-points,val-quantity,stock,product-sending-value,Cámara,Enfriamientorápido,ModoVacaciones,Motores,NoFrost,Númerodepuertas,Panelable,Refrigeración,ModoECO,Capacidaddecongelación,CapacidadTotalNeta,TipodeBotellero,MotorExtrasilencioso,Tipodeinstalación,BandejasextraíblesEasyAccess,Conectividad,BandejasenCongelador,Cajones/Cestas,CapacidadCongelador,Hieleras/Cubiteras,Posición,BigBoxCongelador,Indicadordepuertacongeladorabierta,Apertura,Color/material,Iluminación,PuertaReversible,Tirador,Alimentación,Autonomíaencasodecorteeléctrico(Horas),ConsumoAnualdeEnergía,EficienciaNueva,Intensidad,Potencia,Ruido,EficienciaSonora,ClaseClimática,ClasificaciónporEstrellas,Alturaexacta,Anchuraexacta,Peso,LongituddelCable,Profundidad,Altura,Anchura,ControlDigitalExterno,ControlExterno,Pantalla,DisplayDigital,PosicióndelosControles,ReguladordeTemperatura,Garantía,Hercios,BaldasenRefrigerador,Capacidadfrigorífico,DispensadorHielo,DispensadorAgua,Huevera,Ventanaconvisibilidadinterior,BigBox,BalconesenlaPuerta,BandejasAjustablesenFrigorífico,TrituradordeHielo,AdmisióndeAgua,VarioZone,ExtraFresh,ExtraFreshComfort,SuperFrost,VarioShelf,ExtraCold,FullSkinCondenser,Alarma,AlarmaVisual,Botellero,TemperaturaAmbienteMáxima,NeoFrostDualCooling,EficienciaAntigua,---,JuntasAntibacterias,DiseñodelaSerie,CapacidadTotalBruta,VitaFresh,DoorCooling
BALAY 3KFE776XE INOX - Frigorífico Combi NoFrost," 837,49 €",200629051,BALAY," 4,62",(8),Disponible,"37,00 €",No,Sí,No,1 Motores,Total,2 Puertas,No,No Frost,Sí,12 Kg/24H,438 Litros, Rejilla auxiliar para 1 botella,No,Libre,Sí,No,3 Bandejas,3 Cajoneras,108 Litros,1 Hieleras,Abajo,No,Sí,A Derechas,Inox,LED,Sí,Externo,230V,16 Autonomía,259 Kwh/Año,E,10 Amperios,100 W,40 Decibelios,C,SubtropicalTempladoTemplado ampliadotropical,4 Estrellas,203 Centímetros,70 Centímetros,83 Kilogramos,2 Metros,67 Centímetros,Mayor de 200 cm,66 a 70 cm,Pantalla,Control táctil,No,Sí,Externos,Digital,3 Años,50 Hz,5 Baldas,330 Litros,No,No,Sí,No,No,4 Balcones,4 bandejas,No,No,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
INDESIT TAA 5 1 BLANCO - Frigorífico Dos Puertas Cíclico," 393,49 €",014760137,INDESIT," 4,83",(6),Disponible,"37,00 €",NULL,NULL,NULL,NULL,NULL,2 Puertas,No,Cíclico,NULL,4 Kg/24H,416 Litros,NULL,NULL,Libre,NULL,NULL,1 Bandejas,2 Cajoneras,83 Litros,NULL,NULL,NULL,NULL,A Derechas,Blanco,LED,Sí,Integrado,230V,0 Autonomía,282 Kwh/Año,F,NULL,NULL,44 Decibelios,D,templada/subtropical,4 Estrellas,180 Centímetros,70 Centímetros,NULL,NULL,69 Centímetros,176 a 180 cm,66 a 70 cm,No,NULL,No,No,Internos,Mecánico,3 Años,NULL,5 Baldas,333 Litros,NULL,NULL,NULL,NULL,NULL,3 Balcones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sí,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BEKO B1RCHE-363-W Blanco - Frigorífico Combi Cíclico," 0,00 €",084246661,BEKO," 0,00",(0),No Disponible,"37,00 €",NULL,Sí,Sí,NULL,Congelador,2 Puertas,No,Cíclico,NULL,6 Kg/24H,NULL,NULL,NULL,Libre,NULL,NULL,1 Bandejas,2 Cajoneras,107 Litros,1 Hieleras,NULL,NULL,NULL,A Derechas,Blanco,LED,Sí,Integrado,230V,11 Autonomía,312 Kwh/Año,F,NULL,NULL,39 Decibelios,NULL,SN-ST,4 Estrellas,187 Centímetros,60 Centímetros,70 Kilogramos,NULL,66 Centímetros,181 a 190,55 a 60 cm,NULL,NULL,NULL,NULL,Internos,Mecánico,3 Años,50 Hz,4 Baldas,218 Litros,NULL,NULL,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sí,NULL,NULL,38 ºC,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL
KROMSLINE KF-4P-80-DDIX INOX - Frigorífico Americano No Frost ," 951,20 €",702139962,KROMSLINE," 0,00",(0),Disponible,"78,00 €",NULL,NULL,NULL,NULL,Total,4 Puertas,No,No Frost,NULL,8 Kg/24H,379 Litros,NULL,NULL,Libre,NULL,NULL,6 Bandejas,2 Cajoneras,120 Litros,NULL,NULL,NULL,NULL,NULL,Inox,LED,NULL,Integrado,230V,NULL,331 Kwh/Año,F,NULL,NULL,42 Decibelios,D,NULL,NULL,184 Centímetros,75 Centímetros,NULL,NULL,69 Centímetros,181 a 190,76 a 80 cm,Pantalla,Control táctil,Sí,Sí,Externos,Digital,5 Años,0 Hz,3 Baldas,259 Litros,No,Sí,NULL,NULL,NULL,6 Balcones,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,A++,NULL,NULL,NULL,NULL,NULL,NULL
SMEG FAB30RBE5 AZUL - Frigorífico Dos Puertas Cíclico," 1.608,61 €",770929774,SMEG," 0,00",(0),Disponible,"37,00 €",NULL,NULL,NULL,NULL,NULL,2 Puertas,No,Cíclico,NULL,4 Kg/24H,294 Litros,NULL,NULL,Libre,NULL,NULL,0 Bandejas,2 Cajoneras,72 Litros,NULL,NULL,NULL,NULL,A Derechas,Azul,LED,NULL,Externo,230V,30 Autonomía,168 Kwh/Año,D,NULL,100 W,37 Decibelios,C,"SN, N, ST, T",4 Estrellas,172 Centímetros,60 Centímetros,79 Kilogramos,1 Metros,77 Centímetros,171 a 175 cm,55 a 60 cm,No,NULL,No,No,Internos,Mecánico,3 Años,50 Hz,4 Baldas,222 Litros,NULL,NULL,NULL,NULL,NULL,3 Balcones,2 bandejas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sí,Sí,No,NULL,NULL,NULL,Huevera Accesorios,Sí,Vintage,NULL,NULL,NULL
BOSCH KGN36VIDA INOX - Frigorífico Combi No Frost," 736,99 €",200514040,BOSCH," 5,00",(1),Disponible,"37,00 €",No,Sí,NULL,1 Motores,Total,2 Puertas,No,No Frost,Sí,10 Kg/24H,NULL,Rejilla auxiliar para 1 botella,Sí,Libre,Sí,No,3 Bandejas,3 Cajoneras,89 Litros,1 Hieleras,Abajo,No,Sí,A Derechas,Inox,LED,Sí,Integrado,230V,13 Autonomía,191 Kwh/Año,D,10 Amperios,100 W,36 Decibelios,C,"Subtropical, Templado, Templado ampliado, tropical",4 Estrellas,186 Centímetros,60 Centímetros,74 Kilogramos,2 Metros,66 Centímetros,181 a 190,55 a 60 cm,No,NULL,No,No,Internos,Digital,3 Años,50 Hz,4 Baldas,237 Litros,NULL,NULL,Sí,No,No,3 Balcones,2 bandejas,No,No,No,NULL,NULL,Sí,Sí,Sí,Sí,Sí,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Sí,NULL
LG GBP61SWPGN Blanco - Frigorífico Combi No Frost," 543,49 €",609140852,LG," 0,00",(0),Disponible,"37,00 €",NULL,Sí,NULL,NULL,Total,2 Puertas,NULL,No Frost,Sí,10 Kg/24H,NULL,NULL,NULL,Libre,NULL,Sí,3 Bandejas,1 Cajoneras,108 Litros,NULL,NULL,NULL,NULL,A Derechas,Blanco,LED,Sí,Integrado,230V,9 Autonomía,214 Kwh/Año,D,NULL,NULL,35 Decibelios,B,SN-T,NULL,186 Centímetros,60 Centímetros,74 Kilogramos,NULL,68 Centímetros,181 a 190,55 a 60 cm,No,NULL,NULL,Sí,NULL,Digital,3 Años,NULL,4 Baldas,234 Litros,NULL,NULL,NULL,NULL,NULL,3 Balcones,3 bandejas,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sí,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Sí
BALAY 3KFE778WI Cristal Blanco - Frigorífico Combi NoFrost," 1.149,99 €",200629018,BALAY," 4,80",(10),Disponible,"37,00 €",No,Sí,Sí,1 Motores,Total,2 Puertas,No,No Frost,Sí,12 Kg/24H,438 Litros,Rejilla auxiliar para 1 botella,No,Libre,Sí,No,3 Bandejas,3 Cajoneras,108 Litros,1 Hieleras,Abajo,No,Sí,A Derechas,Blanco,LED,Sí,Integrado,230V,16 Autonomía,259 Kwh/Año,E,10 Amperios,100 W,40 Decibelios,C,SubtropicalTempladoTemplado ampliadotropical,4 Estrellas,203 Centímetros,70 Centímetros,98 Kilogramos,2 Metros,67 Centímetros,Mayor de 200 cm,66 a 70 cm,Pantalla,Control táctil,No,Sí,Externos,Digital,3 Años,50 Hz,5 Baldas,330 Litros,Sí,Sí,Sí,No,No,3 Balcones,4 bandejas,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,NULL,NULL,NULL,NULL,NULL,NULL,Cristal,NULL,NULL,NULL
WINIA WRN-BV300NPT INOX - Frigorífico Combi NoFrost," 421,49 €",972151941,WINIA," 0,00",(0),Disponible,"37,00 €",NULL,NULL,NULL,NULL,Total,2 Puertas,No,No Frost,NULL,NULL,295 Litros,NULL,NULL,Libre,NULL,NULL,3 Bandejas,1 Cajoneras,88 Litros,1 Hieleras,Abajo,NULL,NULL,A Derechas,Inox,LED,Sí,Integrado,230V,10 Autonomía,239 Kwh/Año,E,NULL,NULL,41 Decibelios,C,NULL,NULL,186 Centímetros,60 Centímetros,64 Kilogramos,NULL,NULL,181 a 190,55 a 60 cm,NULL,NULL,NULL,No,Internos,Mecánico,3 Años,NULL,4 Baldas,207 Litros,NULL,NULL,NULL,NULL,NULL,3 Balcones,3 bandejas,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
BALAY 3KFE560WI Blanco - Frigorífico Combi NoFrost," 480,49 €",200629140,BALAY," 0,00",(0),Disponible,"37,00 €",No,No,No,1 Motores,Total,2 Puertas,No,No Frost,Sí,10 Kg/24H,305 Litros,NULL,No,Libre,No,No,3 Bandejas,1 Cajoneras,89 Litros,NULL,Abajo,No,Sí,A Derechas,Blanco,LED,Sí,Integrado,230V,12 Autonomía,239 Kwh/Año,E,10 Amperios,100 W,42 Decibelios,D,SubtropicalTempladoTemplado ampliadotropical,4 Estrellas,186 Centímetros,60 Centímetros,62 Kilogramos,2 Metros,66 Centímetros,181 a 190,55 a 60 cm,No,NULL,No,No,Internos,Mecánico,3 Años,50 Hz,4 Baldas,216 Litros,No,No,No,No,No,4 Balcones,3 bandejas,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
